DATE,CPI
2006:02,199.4 
2006:03,199.7 
2006:04,200.7 
2006:05,201.3 
2006:06,201.8 
2006:07,202.9 
2006:08,203.8 
2006:09,202.8 
2006:10,201.9 
2006:11,202.0 
2006:12,203.1 
2007:01,203.4 
2007:02,204.2 
2007:03,205.3 
2007:04,205.9 
2007:05,206.8 
2007:06,207.2 
2007:07,207.6 
2007:08,207.7 
2007:09,208.5 
2007:10,209.2 
2007:11,210.8 
2007:12,211.4 
2008:01,212.2 
2008:02,212.7 
2008:03,213.4 
2008:04,213.9 
2008:05,215.2 
2008:06,217.5 
2008:07,219.0 
2008:08,218.7 
2008:09,218.9 
2008:10,217.0 
2008:11,213.2 
2008:12,211.4 
2009:01,211.9 
2009:02,212.7 
2009:03,212.5 
2009:04,212.7 
2009:05,213.0 
2009:06,214.8 
2009:07,214.7 
2009:08,215.4 
2009:09,215.9 
2009:10,216.5 
2009:11,217.2 
2009:12,217.3 
2010:01,217.5 
2010:02,217.3 
2010:03,217.4 
2010:04,217.4 
2010:05,217.3 
2010:06,217.2 
2010:07,217.6 
2010:08,217.9 
2010:09,218.3 
2010:10,219.0 
2010:11,219.6 
2010:12,220.5 
2011:01,221.2 
2011:02,221.9 
2011:03,223.0 
2011:04,224.1 
2011:05,224.8 
2011:06,224.8 
2011:07,225.4 
2011:08,226.1 
2011:09,226.6 
2011:10,226.8 
2011:11,227.2 
2011:12,227.2 
2012:01,227.8 
2012:02,228.3 
2012:03,228.8 
2012:04,229.2 
2012:05,228.7 
2012:06,228.5 
2012:07,228.6 
2012:08,229.9 
2012:09,231.0 
2012:10,231.6 
2012:11,231.2 
2012:12,231.2 
2013:01,231.7 
2013:02,232.9 
2013:03,232.3 
2013:04,231.8 
2013:05,231.9 
2013:06,232.4 
2013:07,232.9 
2013:08,233.5 
2013:09,233.5 
2013:10,233.7 
2013:11,234.1 
2013:12,234.7 
2014:01,235.3 
2014:02,235.5 
2014:03,236.0 
2014:04,236.5 
2014:05,236.9 
2014:06,237.2 
2014:07,237.5 
2014:08,237.5 
2014:09,237.5 
2014:10,237.4 
2014:11,237.0 
2014:12,236.3 
2015:01,234.7 
2015:02,235.3 
2015:03,236.0 
2015:04,236.2 
2015:05,237.0 
2015:06,237.7 
2015:07,238.0 
2015:08,238.0 
2015:09,237.5 
2015:10,237.7 
2015:11,238.0 
2015:12,237.8 
2016:01,237.7 
2016:02,237.3 
2016:03,238.1 
2016:04,239.0 
2016:05,239.6 
2016:06,240.2 
2016:07,240.1 
2016:08,240.5 
2016:09,241.2 
2016:10,241.7 
2016:11,242.0 
2016:12,242.6 
2017:01,243.6 
2017:02,244.0 
2017:03,243.9 
2017:04,244.2 
2017:05,244.0 
2017:06,244.2 
2017:07,244.2 
2017:08,245.2 
2017:09,246.4 
2017:10,246.6 
2017:11,247.3 
2017:12,247.8 
2018:01,248.9 
2018:02,249.5 
2018:03,249.6 
2018:04,250.2 
2018:05,250.8 
2018:06,251.0 
2018:07,251.2 
2018:08,251.7 
2018:09,252.2 
2018:10,252.8 
2018:11,252.6 
2018:12,252.8 
2019:01,252.7 
2019:02,253.3 
2019:03,254.2 
2019:04,255.2 
2019:05,255.3 
2019:06,255.2 
2019:07,255.7 
2019:08,256.1 
2019:09,256.5 
2019:10,257.2 
2019:11,257.8 
2019:12,258.6 
2020:01,259.0 
2020:02,259.2 
2020:03,258.1 
2020:04,256.1 
2020:05,255.9 
2020:06,257.0 
2020:07,258.3 
2020:08,259.4 
2020:09,260.0 
2020:10,260.3 
2020:11,260.8 
2020:12,262.0 
2021:01,262.7 
2021:02,263.6 
2021:03,264.9 
2021:04,266.7 
2021:05,268.4 
2021:06,270.6 
2021:07,271.8 
2021:08,272.9 
2021:09,274.0 
2021:10,276.5 
2021:11,278.7 
2021:12,280.9 
2022:01,282.6 
2022:02,284.6 
2022:03,287.5 
2022:04,288.6 
2022:05,291.3 
2022:06,294.7 
2022:07,294.6 
2022:08,295.3 
2022:09,296.5 
